"CMAQv531_2016fh_12US1_M3Dry_fixed_411BCs"
"20160101 to 20161231"
"AQS_Daily_O3"
"Network","Stat_ID","lat","lon","Obs_Value","Mod_Value","Month"
"AQS_Daily_O3","2209900011",30.08887,-91.86959,35.375,32.361,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,34.25,32.567,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,40.125,25.32,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,42,32.998,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,36.875,29.447,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,44.5,33.22,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,33.375,32.208,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,38.75,30.77,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,41.25,35.441,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,33.25,35.285,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,41.375,33.257,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,44.375,37.095,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,48.571,38.653,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,36.375,33.914,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,50.25,37.265,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,38.875,30.13,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,38.625,34.457,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,42.25,35.77,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,46,37.168,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,46,32.964,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,44.125,35.837,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,28.25,35.692,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,38.625,39.592,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,41,37.732,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,44,32.433,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,35.25,30.902,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,42.375,36.424,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,48.125,38.136,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,46,32.795,1
"AQS_Daily_O3","2209900011",30.08887,-91.86959,36.625,34.132,2
"AQS_Daily_O3","2209900011",30.08887,-91.86959,40.25,26.109,2
"AQS_Daily_O3","2209900011",30.08887,-91.86959,41.875,32.688,2
"AQS_Daily_O3","2209900011",30.08887,-91.86959,42.75,36.942,2
"AQS_Daily_O3","2209900011",30.08887,-91.86959,46.875,38.119,2
"AQS_Daily_O3","2209900011",30.08887,-91.86959,45.5,37.312,2
"AQS_Daily_O3","2209900011",30.08887,-91.86959,52.75,40.025,2
"AQS_Daily_O3","2209900011",30.08887,-91.86959,45.625,35.612,2
"AQS_Daily_O3","2209900011",30.08887,-91.86959,44.875,34.04,2
"AQS_Daily_O3","2209900011",30.08887,-91.86959,46.875,35.061,2
"AQS_Daily_O3","2209900011",30.08887,-91.86959,48.125,37.15,2
"AQS_Daily_O3","2209900011",30.08887,-91.86959,49.5,36.103,2
"AQS_Daily_O3","2209900011",30.08887,-91.86959,54.625,44.509,2
"AQS_Daily_O3","2209900011",30.08887,-91.86959,48.875,36.829,2
"AQS_Daily_O3","2209900011",30.08887,-91.86959,42.571,35.373,2
"AQS_Daily_O3","2209900011",30.08887,-91.86959,49.125,33.742,2
"AQS_Daily_O3","2209900011",30.08887,-91.86959,44.25,36.936,2
"AQS_Daily_O3","2209900011",30.08887,-91.86959,47.625,36.336,2
"AQS_Daily_O3","2209900011",30.08887,-91.86959,49.25,37.596,2
"AQS_Daily_O3","2209900011",30.08887,-91.86959,50.5,37.792,2
"AQS_Daily_O3","2209900011",30.08887,-91.86959,42.125,37.019,2
"AQS_Daily_O3","2209900011",30.08887,-91.86959,35.5,32.278,2
